"PRODUCT_ID" ,"COMMISSION_NAME" ,"CUSTOM_DESIGN" ,"CUSTOM_DESIGN_COMMISSION" ,"CUSTOM_DESIGN_ID" ,"STATE" ,"BACKGROUND"                                     ,"LOGOS_LAYER"         ,"EMBOSS_TYPE" ,"IS_VIRTUAL" ,"APPLICATION_TYPE" ,"SHOW_ORDER" ,"CURRENCY" ,"PRICE" ,"CARD_IMAGE" ,"BACKGROUND_COLOR" ,"HEADER_COLOR"
"871"        ,C4VC              ,              0 ,                           ,                   ,      1 ,images/cardissue/background_humo_virtual_nl.png  ,images/humo_tpl.png   ,              ,             ,openhumovirtual    ,           1 ,local      ,        ,             ,                   ,
"030"        ,C4VC              ,              0 ,                           ,                   ,      1 ,images/cardissue/background_virtual_fccy.png     ,images/visa_tpl.png   ,              ,             ,openvisavirtual    ,           1 ,foreign    ,        ,             ,                   ,
"068"        ,4MCV              ,              0 ,                           ,                   ,      1 ,images/cardissue/mastercard_virtual_1116x704.png ,                      ,              ,             ,mastercardvirtual  ,           3 ,foreign    ,        ,             ,                   ,
"201"        ,C4VSUM            ,              0 ,                           ,                   ,      1 ,images/cardissue/credit_lime_3.png               ,images/visa_tpl.png   ,              ,             ,openvisasum        ,           5 ,foreign    ,        ,             ,                   ,
"200"        ,C4VSUM            ,              0 ,                           ,                   ,      1 ,images/cardissue/Visa_green_cl.png               ,images/visa_tpl.png   ,              ,             ,openvisasum        ,          10 ,foreign    ,        ,             ,                   ,
"861"        ,C4UCM             ,              0 ,                           ,                   ,      1 ,images/cardissue/Uzcard-MIR.png                  ,images/uzcard_tpl.png ,              ,             ,opencobadge        ,          20 ,local      ,        ,             ,                   ,
"870"        ,C4H               ,              1 ,                           ,                   ,      1 ,images/cardissue/humo.png                        ,images/humo_tpl.png   ,              ,             ,openhumo           ,          40 ,local      ,        ,             ,                   ,
"031"        ,4VS               ,              1 ,                           ,"035"              ,      1 ,images/cardissue/Visa_green_cl.png               ,images/visa_tpl.png   ,              ,             ,openvisaclassic    ,          50 ,foreign    ,        ,             ,                   ,
"032"        ,4VPL              ,              1 ,                           ,"036"              ,      1 ,images/cardissue/Visa_light.png                  ,images/visa_tpl.png   ,              ,             ,openvisagold       ,          60 ,foreign    ,        ,             ,                   ,
"034"        ,4VI               ,              0 ,                           ,                   ,      1 ,images/cardissue/infinite_visa_background.png    ,                      ,              ,             ,openvisainfinite   ,          70 ,foreign    ,        ,             ,                   ,
"040"        ,4MCPL             ,              1 ,                           ,"042"              ,      1 ,images/cardissue/MasterCardLight.png             ,                      ,              ,             ,openmcardlight     ,         120 ,foreign    ,        ,             ,                   ,
"001"        ,C4UPC             ,              0 ,                           ,                   ,      1 ,images/cardissue/union_pay.png                   ,images/visa_tpl.png   ,              ,             ,opencupclass       ,          80 ,foreign    ,        ,             ,                   ,
"002"        ,C4UPG             ,              0 ,                           ,                   ,      1 ,images/cardissue/uniop_pay_gold.png              ,images/visa_tpl.png   ,              ,             ,opencupgold        ,          90 ,foreign    ,        ,             ,                   ,
